Date,Close,High,Low,Open,Volume
2021-01-01T00:00:00.000,14018.5,14049.84961,13991.34961,13996.09961,358100
2021-01-04T00:00:00.000,14132.90039,14147.9502,13953.75,14104.34961,495000
2021-01-05T00:00:00.000,14199.5,14215.59961,14048.15039,14075.15039,492500
2021-01-06T00:00:00.000,14146.25,14244.15039,14039.90039,14240.9502,632300
2021-01-07T00:00:00.000,14137.34961,14256.25,14123.09961,14253.75,559200
2021-01-08T00:00:00.000,14347.25,14367.2998,14221.65039,14258.40039,613500
2021-01-11T00:00:00.000,14484.75,14498.2002,14383.09961,14474.0498,672900
2021-01-12T00:00:00.000,14563.4502,14590.65039,14432.84961,14473.7998,929600
2021-01-13T00:00:00.000,14564.84961,14653.34961,14435.7002,14639.7998,874000
2021-01-14T00:00:00.000,14595.59961,14617.7998,14471.5,14550.0498,620200
2021-01-15T00:00:00.000,14433.7002,14617.4502,14357.84961,14594.34961,789600
2021-01-18T00:00:00.000,14281.2998,14459.15039,14222.7998,14453.2998,762000
2021-01-19T00:00:00.000,14521.15039,14546.0498,14350.84961,14371.65039,546100
2021-01-20T00:00:00.000,14644.7002,14666.4502,14517.5498,14538.2998,623100
2021-01-21T00:00:00.000,14590.34961,14753.5498,14517.25,14730.9502,704600
2021-01-22T00:00:00.000,14371.90039,14619.90039,14357.75,14583.40039,776800
2021-01-25T00:00:00.000,14238.90039,14491.09961,14218.59961,14477.7998,618600
2021-01-27T00:00:00.000,13967.5,14237.9502,13929.2998,14237.9502,660700
2021-01-28T00:00:00.000,13817.5498,13898.25,13713.25,13810.40039,637900
2021-01-29T00:00:00.000,13634.59961,13966.84961,13596.75,13946.59961,753200
2021-02-01T00:00:00.000,14281.2002,14336.34961,13661.75,13758.59961,870500
2021-02-02T00:00:00.000,14647.84961,14731.7002,14469.15039,14481.09961,915000
2021-02-03T00:00:00.000,14789.9502,14868.84961,14574.15039,14754.90039,869500
2021-02-04T00:00:00.000,14895.65039,14913.7002,14714.75,14789.0498,884700
2021-02-05T00:00:00.000,14924.25,15014.65039,14864.75,14952.59961,935600
2021-02-08T00:00:00.000,15115.7998,15159.90039,15041.0498,15064.2998,671200
2021-02-09T00:00:00.000,15109.2998,15257.09961,15064.2998,15164.15039,713300
2021-02-10T00:00:00.000,15106.5,15168.25,14977.2002,15119.0498,624800
2021-02-11T00:00:00.000,15173.2998,15188.5,15065.40039,15073.25,500100
2021-02-12T00:00:00.000,15163.2998,15243.5,15081,15186.2002,571800
2021-02-15T00:00:00.000,15314.7002,15340.15039,15243.40039,15270.2998,456000
2021-02-16T00:00:00.000,15313.4502,15431.75,15242.2002,15371.4502,648500
2021-02-17T00:00:00.000,15208.90039,15314.2998,15170.75,15279.90039,504800
2021-02-18T00:00:00.000,15118.9502,15250.75,15078.0498,15238.7002,770600
2021-02-19T00:00:00.000,14981.75,15144.0498,14898.2002,15074.7998,712200
2021-02-22T00:00:00.000,14675.7002,15010.09961,14635.0498,14999.0498,609900
2021-02-23T00:00:00.000,14707.7998,14854.5,14651.84961,14782.25,744100
2021-02-24T00:00:00.000,14982,15008.7998,14504.5,14729.15039,403800
2021-02-25T00:00:00.000,15097.34961,15176.5,15065.34961,15079.84961,803900
2021-02-26T00:00:00.000,14529.15039,14919.4502,14467.75,14888.59961,1103600
2021-03-01T00:00:00.000,14761.5498,14806.7998,14638.5498,14702.5,507300
2021-03-02T00:00:00.000,14919.09961,14959.09961,14760.7998,14865.2998,621700
2021-03-03T00:00:00.000,15245.59961,15273.15039,14995.7998,15064.40039,544200
2021-03-04T00:00:00.000,15080.75,15202.34961,14980.2002,15026.75,534900
2021-03-05T00:00:00.000,14938.09961,15092.34961,14862.09961,14977.9502,640700
2021-03-08T00:00:00.000,14956.2002,15111.15039,14919.90039,15002.4502,0
2021-03-09T00:00:00.000,15098.40039,15126.84961,14925.4502,15049.90039,675300
2021-03-10T00:00:00.000,15174.7998,15218.4502,15100.84961,15202.15039,404600
2021-03-12T00:00:00.000,15030.9502,15336.2998,14953.59961,15321.15039,493200
2021-03-15T00:00:00.000,14929.5,15048.40039,14745.84961,15048.40039,467500
2021-03-16T00:00:00.000,14910.4502,15051.59961,14890.65039,14996.09961,100
2021-03-17T00:00:00.000,14721.2998,14956.5498,14696.0498,14946.5498,100
2021-03-18T00:00:00.000,14557.84961,14875.2002,14478.59961,14855.5,542200
2021-03-19T00:00:00.000,14744,14788.25,14350.09961,14471.15039,919200
2021-03-22T00:00:00.000,14736.40039,14763.90039,14597.84961,14736.2998,459000
2021-03-23T00:00:00.000,14814.75,14878.59961,14707,14768.5498,474200
2021-03-24T00:00:00.000,14549.40039,14752.34961,14535,14712.4502,456400
2021-03-25T00:00:00.000,14324.90039,14575.59961,14264.40039,14570.90039,606800
2021-03-26T00:00:00.000,14507.2998,14572.90039,14414.25,14506.2998,481000
2021-03-30T00:00:00.000,14845.09961,14876.2998,14617.59961,14628.5,594500
2021-03-31T00:00:00.000,14690.7002,14813.75,14670.25,14811.84961,463900
2021-04-01T00:00:00.000,14867.34961,14883.2002,14692.4502,14798.40039,445000
2021-04-05T00:00:00.000,14637.7998,14849.84961,14459.5,14837.7002,509700
2021-04-06T00:00:00.000,14683.5,14779.09961,14573.90039,14737,475300
2021-04-07T00:00:00.000,14819.0498,14879.7998,14649.84961,14716.4502,0
2021-04-08T00:00:00.000,14873.7998,14984.15039,14821.09961,14875.65039,514800
2021-04-09T00:00:00.000,14834.84961,14918.4502,14785.65039,14882.65039,504100
2021-04-12T00:00:00.000,14310.7998,14652.5,14248.7002,14644.65039,650200
2021-04-13T00:00:00.000,14504.7998,14528.90039,14274.90039,14364.90039,605100
2021-04-15T00:00:00.000,14581.4502,14597.5498,14353.2002,14522.40039,568000
2021-04-16T00:00:00.000,14617.84961,14697.7002,14559,14599.59961,577200
2021-04-19T00:00:00.000,14359.4502,14382.2998,14191.40039,14306.59961,512300
2021-04-20T00:00:00.000,14296.40039,14526.9502,14207.2998,14526.7002,467400
2021-04-22T00:00:00.000,14406.15039,14424.75,14151.40039,14219.15039,524600
2021-04-23T00:00:00.000,14341.34961,14461.15039,14273.2998,14326.34961,498100
2021-04-26T00:00:00.000,14485,14557.5,14421.2998,14449.4502,452700
2021-04-27T00:00:00.000,14653.0498,14667.5498,14484.84961,14493.7998,451800
2021-04-28T00:00:00.000,14864.5498,14890.25,14694.9502,14710.5,457000
2021-04-29T00:00:00.000,14894.90039,15044.34961,14814.4502,14979,517500
2021-04-30T00:00:00.000,14631.09961,14855.4502,14601.7002,14747.34961,613900
2021-05-03T00:00:00.000,14634.15039,14673.84961,14416.25,14481.0498,448900
2021-05-04T00:00:00.000,14496.5,14723.40039,14461.5,14687.25,503400
2021-05-05T00:00:00.000,14617.84961,14637.90039,14506.59961,14604.15039,455900
2021-05-06T00:00:00.000,14724.7998,14743.90039,14611.5,14668.34961,467800
2021-05-07T00:00:00.000,14823.15039,14863.0498,14765.5,14816.84961,488000
2021-05-10T00:00:00.000,14942.34961,14966.90039,14892.5,14928.25,522000
